"";"CV";"LIBGEO";"P13_F65P";"P13_POP";"DP90F65P";"DP90T";"pct_P13_F65P_P13_POP";"pct_DP90F65P_DP90T"
"156";"0814";"Sedan-1 (Partiel)";809,334799234178;8020,99999999999;614;8466;10,0901982200995;7,25253957004489
"157";"0815";"Sedan-2 (Partiel)";718,121650665777;6286;503;6245;11,4241433449853;8,05444355484387
"158";"0816";"Sedan-3 (Partiel)";622,013373265426;6250;464;5695;9,95221397224681;8,14749780509219
"159";"0817";"Signy-l'Abbaye";1617,99541306739;15676;1474;14722;10,3214813285748;10,0122265996468
"160";"0818";"Villers-Semeuse";1338,89633645344;14968;938;15113;8,94505836754035;6,20657711903659
"161";"0819";"Vouziers";936,489252038926;8539;943;8841;10,9672005157387;10,6662142291596
"162";"0888";"Vouziers";633,805758554659;4019,00000000001;0;0;15,7702353459731;NA
"163";"0889";"Chémery-Chéhéry";44,2775330396476;437;42;418;10,1321585903084;10,0478468899522
"164";"0898";"Charleville-Mézières";5785,99979633055;48991;4647;57025;11,8103320943246;8,14905743095134
"165";"0899";"Sedan";1888,00718619971;18134;1628;21670;10,4114215628086;7,51269035532995
"166";"0901";"Haute-Ariège";1057,86821749621;6580;976;6501;16,0770245820092;15,0130749115521
"167";"0902";"Arize-Lèze";1445,18762356425;10728;1249;8937;13,4711747162962;13,9756070269665
"168";"0903";"Couserans Est";1320,18283680304;9432;1454;8683;13,9968494147904;16,7453645053553
"169";"0904";"Couserans Ouest";1773,94398486729;10672;732;4070;16,6224136513052;17,985257985258
"170";"0905";"Foix";1848,54812063188;13715;1547;13231;13,4782947184242;11,6922379260827
"171";"0906";"Mirepoix";1742,04714729822;13220;1472;12520;13,1773611747218;11,7571884984026
"172";"0907";"Pamiers-1 (Partiel)";728,937125970259;6522;357;4757;11,1765888679892;7,50472987176792
"173";"0908";"Pamiers-2 (Partiel)";427,828935969083;4810;263;3193;8,8945724733697;8,23676792984654
"174";"0909";"Pays d'Olmes";1997,6007833238;12752;798;7537;15,6649998692268;10,5877670160541
"175";"0910";"Portes d'Ariège";1439,63914073792;13144;1194;9527;10,9528236513841;12,5328015114936
"176";"0911";"Portes du Couserans";1380,78070244528;9520;1200;8695;14,5039989752656;13,8010350776308
